,lat,lon,latlon
0,8.175072,78.5687426,8.175072;78.5687426
1,8.6311283,78.088679,8.6311283;78.088679
2,10.1742481,78.0134512,10.1742481;78.0134512
3,10.9586908,77.6878797,10.9586908;77.6878797
4,12.9697046,78.9493309,12.9697046;78.9493309
5,10.9898594,78.8285047,10.9898594;78.8285047
6,10.9964334,78.0124348,10.9964334;78.0124348
7,10.3620095,78.062207,10.3620095;78.062207
8,11.0454383,77.7203378,11.0454383;77.7203378
9,11.0020035,77.3496492,11.0020035;77.3496492
10,11.0698218,78.2174094,11.0698218;78.2174094
11,12.6043813,80.2051938,12.6043813;80.2051938
12,12.5108156,79.8221064,12.5108156;79.8221064
13,13.1755852,79.826349,13.1755852;79.826349
14,13.1756034,79.6971064,13.1756034;79.6971064
15,12.5118231,76.9640111,12.5118231;76.9640111
16,12.6147998,77.8569091,12.6147998;77.8569091
17,11.3349948,77.3228135,11.3349948;77.3228135
18,10.3627365,77.7319091,10.3627365;77.7319091
19,8.28125,77.5423394,8.28125;77.5423394
20,8.7467987,77.5422878,8.7467987;77.5422878
21,8.7205285,77.8728767,8.7205285;77.8728767
22,9.8970233,77.5423566,9.8970233;77.5423566
23,9.4097984,78.1466615,9.4097984;78.1466615
24,9.8561737,78.1793601,9.8561737;78.1793601
25,9.975144,78.1097719,9.975144;78.1097719
26,10.0485854,79.9919117,10.0485854;79.9919117
27,10.925072,79.5238,10.925072;79.5238
28,10.9616403,80.1978823,10.9616403;80.1978823
29,10.528413,77.5795067,10.528413;77.5795067
30,10.2272782,77.5760056,10.2272782;77.5760056
31,10.9865006,77.2670067,10.9865006;77.2670067
32,11.75,76.9855506,11.75;76.9855506
33,11.703125,77.561726,11.703125;77.561726
34,11.3121443,80.1837059,11.3121443;80.1837059
35,11.206322,80.1162218,11.206322;80.1162218
36,11.7542555,80.1104962,11.7542555;80.1104962
37,12.9779767,80.1084093,12.9779767;80.1084093
38,11.4950288,79.4299299,11.4950288;79.4299299
39,12.7528413,79.742968825,12.7528413;79.742968825
40,12.9623646,79.5349935,12.9623646;79.5349935
41,11.5589516,78.0759368,11.5589516;78.0759368
42,13.0326771,78.0809209,13.0326771;78.0809209
43,13.0987212,78.0305448,13.0987212;78.0305448
44,13.0220233,80.1422816,13.0220233;80.1422816
45,12.7876483,79.0149198,12.7876483;79.0149198
46,12.6676195,78.9522137,12.6676195;78.9522137
47,13.0149136,78.1574944,13.0149136;78.1574944
48,9.6963584,80.1830677,9.6963584;80.1830677
49,11.3142258,78.0630029,11.3142258;78.0630029
50,11.6622338,77.0997724,11.6622338;77.0997724
51,11.95771,80.1839664,11.95771;80.1839664
52,11.0715799,79.1354023,11.0715799;79.1354023
53,13.0033615,78.1770871,13.0033615;78.1770871
54,8.9897405,78.1430775,8.9897405;78.1430775
55,11.1935146,78.1238826,11.1935146;78.1238826
56,10.375369,78.1465786,10.375369;78.1465786
57,12.8417152,78.4491104,12.8417152;78.4491104
58,9.3935933,78.165032,9.3935933;78.165032
59,10.6553231,78.6686019,10.6553231;78.6686019
60,10.6055138,77.2416055,10.6055138;77.2416055
61,8.7246763,76.9601494,8.7246763;76.9601494
62,8.7239563,76.9345562,8.7239563;76.9345562
63,8.2619517,80.1069807,8.2619517;80.1069807
64,9.6632434,80.2916523,9.6632434;80.2916523
65,9.9391622,79.3163667,9.9391622;79.3163667
66,9.9391536,79.1252968,9.9391536;79.1252968
67,11.3225819,79.6323678,11.3225819;79.6323678
68,8.9597294,78.0895981,8.9597294;78.0895981
69,10.9675752,77.6844874,10.9675752;77.6844874
70,10.0396533,77.5617119,10.0396533;77.5617119
71,10.6724701,80.2545394,10.6724701;80.2545394
72,10.4263828,80.2801326,10.4263828;80.2801326
73,12.8071784,78.8094874,12.8071784;78.8094874
74,11.033975,78.2086664,11.033975;78.2086664
75,11.681354,79.1727226,11.681354;79.1727226
76,11.2143696,77.6750546,11.2143696;77.6750546
77,11.8329756,77.3498268,11.8329756;77.3498268
78,11.20621,77.7390376,11.20621;77.7390376
79,12.9956282,77.2964847,12.9956282;77.2964847
80,12.9789318,79.8642437,12.9789318;79.8642437
81,12.9814217,79.8272681,12.9814217;79.8272681
82,12.2619646,79.7712352,12.2619646;79.7712352
83,11.1650133,77.8851133,11.1650133;77.8851133
84,13.0701919,77.8410667,13.0701919;77.8410667
85,12.5080476,78.4834819,12.5080476;78.4834819
86,12.2136668,77.6919565,12.2136668;77.6919565
87,13.1341147,77.8431536,13.1341147;77.8431536
88,12.2275133,77.7025974,12.2275133;77.7025974
89,13.1348261,77.6877139,13.1348261;77.6877139
90,13.1671432,80.1106738,13.1671432;80.1106738
91,13.1671475,80.1298687,13.1671475;80.1298687
92,13.1348304,79.90667,13.1348304;79.90667
93,11.8881934,80.2013205,11.8881934;80.2013205
94,12.5117484,79.4390593,12.5117484;79.4390593
95,11.6597583,79.3829576,11.6597583;79.3829576
96,11.1753833,78.0759083,11.1753833;78.0759083
97,10.7234818,78.4310407,10.7234818;78.4310407
98,10.7265625,78.0887049,10.7265625;78.0887049
99,12.522214,78.1526879,12.522214;78.1526879
100,12.8316487,77.1225772,12.8316487;77.1225772
101,11.5172915,77.7887954,11.5172915;77.7887954
102,10.1371013,77.7213801,10.1371013;77.7213801
103,9.958215,80.2728411,9.958215;80.2728411
104,9.9500597,80.2479894,9.9500597;80.2479894
105,12.9232892,80.097465,12.9232892;80.097465
106,10.8754745,79.7109453,10.8754745;79.7109453
107,10.9805983,78.928075,10.9805983;78.928075
108,10.9479298,78.4834352,10.9479298;78.4834352
109,10.9923106,78.1666926,10.9923106;78.1666926
110,10.9607135,78.1908028,10.9607135;78.1908028
111,11.0008388,78.2206386,11.0008388;78.2206386
112,11.6720067,78.1404267,11.6720067;78.1404267
113,11.3694405,77.8255649,11.3694405;77.8255649
114,11.6659598,77.7886581,11.6659598;77.7886581
115,11.2849301,77.6876995,11.2849301;77.6876995
116,12.9766899,76.9939531,12.9766899;76.9939531
117,12.5001317,76.9524351,12.5001317;76.9524351
118,11.6964984,76.9325331,11.6964984;76.9325331
119,12.2540358,76.9787483,12.2540358;76.9787483
120,11.1535404,76.9254062,11.1535404;76.9254062
121,13.052685,77.1157776,13.052685;77.1157776
122,13.0672386,77.96875,13.0672386;77.96875
123,13.039897,77.3500967,13.039897;77.3500967
124,13.1755551,77.3167082,13.1755551;77.3167082
125,10.9605253,77.2606753,10.9605253;77.2606753
126,13.143238,77.7073848,13.143238;77.7073848
127,11.9434553,77.7066261,11.9434553;77.7066261
128,13.1244117,77.5213334,13.1244117;77.5213334
129,11.40914,78.859375,11.40914;78.859375
130,11.1337991,78.9922219,11.1337991;78.9922219
131,12.0433667,78.1868101,12.0433667;78.1868101
132,12.5222119,78.1271213,12.5222119;78.1271213
133,11.4697828,78.3529767,11.4697828;78.3529767
134,11.308801,79.9765453,11.308801;79.9765453
135,10.6551733,79.1527317,10.6551733;79.1527317
136,10.1629858,80.1974768,10.1629858;80.1974768
137,10.7785222,80.1811232,10.7785222;80.1811232
138,12.627447,80.1974682,12.627447;80.1974682
139,12.1302908,79.5433567,12.1302908;79.5433567
140,10.4861729,79.1257243,10.4861729;79.1257243
141,8.320675,80.1832746,8.320675;80.1832746
142,11.3474359,80.1228443,11.3474359;80.1228443
143,10.9549383,77.7052741,10.9549383;77.7052741
144,10.4627508,80.2510069,10.4627508;80.2510069
145,9.9474535,80.2425217,9.9474535;80.2425217
